SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539594,MISHTANN    ,X ,Q,46.95,46.95,45.15,45.15,45.15,46.05,153,51622,2363351.00,
539596,DELTA       ,XT,Q,7.58,7.58,7.21,7.21,7.21,7.58,2,5,37.00,
539597,JSLHISAR    ,A ,Q,74.45,80.00,74.25,75.25,75.25,74.80,2577,560312,43246169.00,
539620,AINFRA      ,X ,Q,20.65,22.75,20.65,22.75,22.75,21.70,7,565,11669.00,
539621,BCLENTERPR  ,X ,Q,17.00,17.00,16.90,16.90,16.90,17.75,7,6670,112727.00,
539636,PRECAM      ,B ,Q,50.25,52.70,50.10,50.95,51.95,52.30,19,2340,120823.00,
539658,TEAMLEASE   ,A ,Q,2845.35,2965.00,2820.00,2845.45,2965.00,2853.85,117,424,1206755.00,
539660,SAHYOGMULT  ,X ,Q,44.00,44.80,43.15,44.80,44.80,44.00,18,2402,106668.00,
539678,QUICKHEAL   ,B ,Q,171.10,178.35,171.10,175.55,175.55,173.70,395,19419,3417479.00,
539725,GOKULAGRO   ,B ,Q,9.50,9.85,8.95,9.16,9.45,9.25,181,94201,860690.00,
539730,FREDUN      ,X ,Q,463.95,463.95,402.00,432.85,430.00,429.35,78,2466,1076052.00,
539742,SIMBHALS    ,B ,Q,10.50,10.50,10.02,10.02,10.30,10.89,5,1601,16310.00,
539767,MNIL        ,XT,Q,18.50,18.50,18.50,18.50,18.50,19.35,2,2065,38202.00,
539770,DARJEELING  ,X ,Q,86.70,87.40,85.40,85.55,85.40,85.90,48,35927,3091851.00,
539785,PDMJEPAPER  ,B ,Q,15.40,16.00,15.05,15.40,15.35,15.35,93,11910,184780.00,
539787,HCG         ,B ,Q,190.05,194.05,190.05,194.05,194.00,189.85,7,214,41470.00,
539798,UMIYA       ,T ,Q,10.50,10.50,9.50,9.60,9.60,10.00,16,693,6917.00,
539799,BHARATWIRE  ,B ,Q,42.00,42.45,40.25,41.00,41.00,40.45,27,1389,58496.00,
539807,INFIBEAM    ,A ,Q,42.65,43.50,42.25,42.55,42.55,42.50,995,520457,22240865.00,
539814,RADHEY      ,XT,Q,17.25,17.25,16.95,17.00,17.00,17.20,27,45260,767291.00,
539841,LANCER      ,T ,Q,74.00,74.00,74.00,74.00,74.00,73.85,2,10,740.00,
539844,EQUITAS     ,A ,Q,127.60,130.10,126.65,128.75,128.75,128.00,671,95777,12310347.00,
539854,HALDER      ,XT,Q,73.85,73.85,73.85,73.85,73.85,72.45,3,274,20234.00,
539861,SKIL        ,T ,Q,8.95,8.95,8.95,8.95,8.95,8.95,3,2000,17900.00,
539871,THYROCARE   ,A ,Q,430.00,451.60,430.00,443.25,443.95,433.50,216,1217,530845.00,
539872,BAJAJHCARE  ,M ,Q,170.00,170.00,170.00,170.00,170.00,175.00,1,800,136000.00,
539874,UJJIVAN     ,A ,Q,324.90,328.35,301.00,308.20,308.20,320.90,3718,240138,75838574.00,
539876,CROMPTON    ,A ,Q,212.05,216.00,211.10,213.50,213.50,211.50,316,7608,1628704.00,
539883,PILANIINVS  ,B ,Q,2360.00,2360.00,2270.00,2275.35,2270.00,2281.75,76,2083,4757048.00,
539884,DARSHANORNA ,B ,Q,27.05,27.65,26.70,27.60,27.65,27.20,10,4009,109179.00,
539889,PARAGMILK   ,A ,Q,243.70,245.00,241.20,243.75,244.00,240.95,330,6880,1675434.00,
539917,NAGARFERT   ,B ,Q,5.36,5.65,5.36,5.60,5.60,5.36,83,15749,86775.00,
