SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
<br>590115,M50 ETF     ,111.90,111.90,111.90,111.90
<br>590126,GRADIENTE   ,1.02,1.02,1.00,1.00
<br>590134,MADRASFERT  ,19.15,20.15,18.95,19.10
<br>715027,895LTFHL21  ,102.91,102.91,102.89,102.89
<br>717502,JSW NCPS    ,4.76,4.76,4.75,4.76
<br>717503,ZEE NCPS    ,5.24,5.25,5.21,5.25
<br>800251,SGB20151    ,3000.00,3140.00,3000.00,3140.00
<br>800252,SGB2016I    ,2970.00,2970.00,2970.00,2970.00
<br>800254,SGBAUG24    ,3006.25,3040.00,3006.12,3040.00
<br>800259,SGB2016IIIA ,2973.00,2973.00,2973.00,2973.00
<br>800265,SGB2016IV   ,2955.00,2955.00,2955.00,2955.00
<br>800270,SGBOCT25    ,2940.00,2940.00,2900.00,2900.00
<br>810617,83GUJ2029   ,103.75,103.75,103.75,103.75
<br>890144,TATASTEELPP ,55.60,56.50,54.50,55.85
<br>890145,IBVENTUREPP ,133.00,154.00,133.00,154.00
<br>934784,LTFINNCDIV  ,1015.99,1015.99,1011.40,1011.63
<br>934885,SREI2019VI  ,1601.00,1901.95,1601.00,1810.00
<br>935016,IIFLHFL202  ,1016.40,1016.40,1016.40,1016.40
<br>935088,12ECL20I    ,1003.00,1005.00,1003.00,1004.00
<br>935092,0ECL20III   ,1803.00,1803.00,1802.99,1802.99
<br>935130,10STFC19    ,1089.00,1090.50,1089.00,1090.50
<br>935140,0STFC2019   ,1666.00,1666.00,1664.10,1664.84
<br>935142,0STFC2021   ,1725.00,1740.00,1725.00,1740.00
<br>935216,0MFL2019A   ,1610.00,1610.00,1610.00,1610.00
<br>935248,12MFL20D    ,1020.25,1020.25,1020.25,1020.25
<br>935311,980IFCI19A  ,1037.50,1037.50,1031.11,1031.11
<br>935321,990IFCI24F  ,1015.00,1015.00,1014.90,1014.96
<br>935383,849NTPC25   ,12.77,12.80,12.77,12.77
<br>935544,734REC30    ,1090.00,1099.00,1085.00,1086.33
<br>935546,715REC35    ,1094.80,1094.80,1094.80,1094.80
<br>935558,0KFL19E     ,1553.00,1553.00,1153.00,1400.00
<br>935572,732IRFC25   ,1091.00,1091.00,1091.00,1091.00
<br>935682,764IRFC31   ,1156.00,1156.00,1156.00,1156.00
